date_key,omni_consumption,ctrl_own_brand_discount_rate,ctrl_own_brand_npd,ctrl_competitor_asp,ctrl_competitor_npd,ctrl_competitor_total_sales,ctrl_macro_trscg_p,ctrl_top5_market_share,ec_jd_onsite_spend,ec_tmall_onsite_spend,ec_dy_spend,atl_tv_spend,atl_ooh_spend,atl_ott_spend,atl_otv_spend,atl_display_spend,atl_paid_social_spend,atl_sem_spend,tmkt_pg_spend,tmkt_sampling_spend
2023/2/1,76256369.89,0.095414966,2260698.963,107219.9514,35522101.93,2687628653,38527.125,0.527169799,576638.19,1184281.349,816694.0164,236682.8571,91427.21,1623312.293,1869728.923,,246200.0,216029.79,2576060.0,191231.23
2023/3/1,87339220.6,0.125304171,2260698.963,105581.5313,37331896.91,2583765926,37855.4,0.526245046,689954.8,1695859.315,1377425.918,230728.5714,1417122.0,1095950.054,1324724.474,,277291.01,223274.19,2689580.0,872353.64
2023/4/1,77868176.82,0.111085982,2260698.963,104911.9334,46505933.49,2456516166,34910.5,0.517936667,656001.28,1671034.704,1511550.27,210260.7143,1051419.5,1466348.051,1509115.9,,2073224.16,233313.4,2415930.0,53927.17
2023/5/1,91462258.03,0.147121481,2260698.963,104434.9654,40105600.12,2574756632,37803.3,0.519653821,777791.37,2184013.367,2211609.526,347209.2857,1417131.4,2451296.702,2685162.586,234623.4114,2278617.01,249359.72,2337860.0,403420.44
2023/6/1,104890625.2,0.184678126,2260698.963,103979.7768,45620285.24,2640693893,39951.4,0.518355418,1074735.99,2378902.682,2653157.079,267942.8571,1371417.2,1732483.324,1819371.222,995837.9112,910310.58,247629.44,2175540.0,723036.01
2023/7/1,86021166.59,0.120235084,3812016.752,106293.4564,56407071.4,2503442659,36760.7,0.510921487,627838.69,1595115.569,3492495.499,214354.2857,1097134.0,1079354.396,1226252.934,28748.00646,566799.37,185568.93,1774320.0,36433.85
2023/8/1,89528174.28,0.117029938,3812016.752,107187.4591,57427447.46,2725582555,37932.7,0.504382555,692418.63,1810912.526,4065575.621,276874.2857,1417131.4,1720774.762,1291964.574,681120.3358,1256893.57,151805.06,1499370.0,173013.3
2023/9/1,93072181.38,0.108744295,3812016.752,107577.7889,70965126.54,2778455573,39826.0,0.498709928,480671.24,1607390.671,3682272.249,205422.8571,1048828.1,1307600.426,1031444.858,1136852.46,862494.91,152864.59,2170890.0,426833.43
2023/10/1,117137876.0,0.163363731,3812016.752,108535.4306,72013047.44,2859025579,43333.0,0.499279669,1278507.31,2924954.063,5407043.414,200957.1429,1362438.0,1318698.484,887263.3507,625945.0283,1755034.91,224819.52,1280320.0,145532.65
2023/11/1,130861598.9,0.20835087,3812016.752,106885.1539,96307820.01,2845867955,42505.0,0.502400768,2241709.33,3217524.914,4504985.289,223285.7143,2456170.5,1384045.363,1277970.679,156082.1759,1310060.95,222190.3,1583820.0,234531.6
2023/12/1,87416784.2,0.111156871,3812016.752,105302.6506,113183494.9,2475106312,43550.2,0.503082655,1115986.99,1627896.969,2814882.517,272408.5714,1420304.3,1444104.019,1317691.449,,1048076.72,127785.4,1227250.0,434311.74
2024/1/1,104315426.6,0.150067733,3812016.752,105635.3955,109193667.6,2609739488,41285.05,0.506667787,1012104.32,1670933.907,3072256.64,176395.7143,1097135.4,1581106.144,1148638.797,,1578429.77,131719.47,2247216.0,64398.57
2024/2/1,99093266.6,0.133941664,1551317.789,107287.7223,92061292.93,2622081663,40152.475,0.524896614,850608.12,1150431.73,3022822.34,147368.5714,822851.97,1204150.539,803677.6406,,528922.18,87068.41,1836892.0,269086.73
2024/3/1,110028333.3,0.170075428,1551317.789,106624.9394,95815713.76,2789015748,39019.9,0.512206894,1112744.65,1833463.596,3433087.7,207655.7143,1564232.0,1643038.274,1204413.056,471841.179,2522728.37,174682.78,1892072.0,123204.32
2024/4/1,94008337.8,0.122606046,1551317.789,106362.884,103024652.0,2512070575,35699.1,0.512167019,1144390.15,1770839.246,3448943.47,154067.1429,1365668.7,1451722.022,723175.5132,,2770571.38,150670.43,1248966.0,285167.97
2024/5/1,115661566.3,0.17188141,1551317.789,106412.1981,106581103.9,2709064933,39211.0,0.518550932,1275354.09,2579063.825,4398960.85,160765.7143,2348643.8,1667029.88,881885.7294,,2720757.17,250248.72,1417576.0,418229.76
2024/6/1,121279655.2,0.19022175,1551317.789,106662.5976,106316587.8,2709886222,40731.6,0.507197919,2199256.19,2397143.048,4586604.63,154067.1429,2525508.3,1623598.801,985934.7597,509008.0528,591899.42,232983.92,1667030.0,251701.96
2024/7/1,98182834.78,0.156133407,,103947.0176,97923106.1,2515982785,37757.4,0.514742046,947570.19,1732731.549,3794030.66,234450.0,1599994.0,2418002.0,1315255.292,207152.9872,309652.27,130540.17,1179158.0,424926.86
2024/8/1,105467783.7,0.167171081,,105841.435,100611972.1,2719768485,38725.8,0.500302531,1030058.27,1943821.138,5417761.02,181419.6429,2752238.0,2018238.33,1008354.224,2310345.908,1421886.23,162579.03,1762602.0,527551.18
2024/9/1,104303528.0,0.166651753,,108643.0454,89149438.79,2842376807,41112.3,0.495655009,957660.07,1742826.617,4424652.63,521930.3571,3882306.0,2517694.883,1891547.725,1613785.592,1254132.55,195899.8,2011624.0,187780.63
2024/10/1,136455928.6,0.208491935,,112134.1644,89205773.27,3027661029,45396.4,0.498740774,1391043.09,3836279.344,4026138.65,111642.8571,3436807.0,3064597.434,2210423.547,,3129339.98,206606.55,1299328.0,249290.85
2024/11/1,125744526.3,0.208623977,,110704.621,75629607.77,2818683900,43763.0,0.488430648,1704122.11,3119747.568,3535653.043,200957.1429,4324718.0,2041890.296,1191513.547,188022.42,1191347.89,253219.76,1876994.0,185909.78
2024/12/1,99447121.88,0.174039498,,110842.0991,75864490.8,2580032677,45171.5,0.496825015,1165612.3,2193453.685,2159443.043,200957.1429,1819786.6,2029601.501,1082819.001,246024.76,457568.87,262607.65,1595648.0,758620.85
2025/1/1,113713087.7,0.172819333,,109537.3542,72464653.76,2624195465,43056.0,0.512285907,978416.61,1743948.501,2516650.0,118341.4286,800570.63,1519813.614,819229.2101,1002652.256,1552696.34,208251.35,2474509.685,57446.09
2025/2/1,114171628.5,0.162794928,,116231.9749,72464653.76,2866884917,41998.25,0.500239064,998376.16,1347183.982,3116899.0,169138.9286,1486854.0,1440427.863,929589.4465,117247.7445,583576.14,119787.61,2692311.723,576579.95
2025/3/1,118827252.4,0.188022918,,113038.6609,62300708.36,2750738569,40940.5,0.481404377,1712117.12,2049095.073,3470273.0,58612.5,2377286.3,1552155.094,1046146.374,2482722.47,1847232.56,157069.43,2476428.646,703248.95
