dac_id,reg_channel,customer_lifecycle_finished_flag,baby_residual_lifecycle,baby_age_last_order,prestige,frisomum,gold,stage_f0,stage_f1,stage_f2,stage_f3,stage_f4,last_repurchase_interval
37f022e1-d684-11e8-8187-022fee61b306,线下,Y,1125.0,11.0,0,0,1,0,0,1,0,0,
9a7d7101-d683-11e8-8187-022fee61b306,线下,Y,1221.0,17.0,0,0,1,0,0,1,0,0,307.0
7769e7e4-d684-11e8-8187-022fee61b306,品牌微信,Y,1155.0,9.0,1,0,0,0,0,1,0,0,
7788e4e7-d683-11e8-8187-022fee61b306,线下,Y,1141.0,10.0,0,0,1,0,0,1,0,0,
047e062d-d684-11e8-8187-022fee61b306,CRM系统,Y,1199.0,8.0,1,0,0,0,1,0,0,0,
df94f5a6-d683-11e8-8187-022fee61b306,线下,Y,1240.0,7.0,0,0,1,0,0,1,0,0,0.0
e0c8d6ef-d683-11e8-8187-022fee61b306,线下,Y,1247.0,9.0,0,0,1,0,0,1,0,0,69.0
72710990-d683-11e8-8187-022fee61b306,线下,Y,1490.0,-1.0,0,0,1,0,1,0,0,0,
89d29a61-d684-11e8-8187-022fee61b306,线下,Y,1322.0,4.0,0,0,1,0,0,1,0,0,
d7e8bda9-d684-11e8-8187-022fee61b306,线下,Y,1349.0,3.0,0,0,1,0,0,1,0,0,
1df3510b-d684-11e8-8187-022fee61b306,品牌微信,Y,1189.0,8.0,0,0,1,0,0,1,0,0,
c5751099-d683-11e8-8187-022fee61b306,线下,Y,1414.0,1.0,0,0,1,0,1,0,0,0,2.0
687a95e7-d683-11e8-8187-022fee61b306,天猫旗舰店,Y,1139.0,10.0,0,0,1,0,0,1,0,0,0.0
9322f0e7-d683-11e8-8187-022fee61b306,CRM系统,Y,1445.0,9.0,1,0,0,0,1,0,0,0,261.0
a428f778-d684-11e8-8187-022fee61b306,CRM系统,Y,1231.0,7.0,1,0,0,0,0,1,0,0,
9be71ee6-d683-11e8-8187-022fee61b306,品牌微信,Y,1181.0,9.0,1,0,0,0,0,1,0,0,0.0
8dac2209-d684-11e8-8187-022fee61b306,品牌微信,Y,1160.0,9.0,0,0,1,0,0,1,0,0,
73393c41-d683-11e8-8187-022fee61b306,天猫旗舰店,Y,1229.0,7.0,0,0,1,0,0,1,0,0,0.0
ea5e5104-d683-11e8-8187-022fee61b306,CRM系统,Y,1385.0,2.0,1,0,0,0,1,0,0,0,
e942aa8a-d683-11e8-8187-022fee61b306,线下,Y,1210.0,8.0,0,0,1,0,0,1,0,0,
4017db5f-d684-11e8-8187-022fee61b306,品牌微信,Y,1126.0,11.0,0,0,1,0,0,1,0,0,0.0
cdbdcbe9-d683-11e8-8187-022fee61b306,线下,Y,1343.0,3.0,0,0,1,0,1,0,0,0,1.0
68787749-d683-11e8-8187-022fee61b306,品牌微信,Y,1088.0,12.0,1,0,0,0,0,0,1,0,0.0
06eb5c89-d684-11e8-8187-022fee61b306,天猫旗舰店,Y,1236.0,7.0,0,0,1,0,0,1,0,0,4.0
dcbd3c35-d683-11e8-8187-022fee61b306,CRM系统,Y,777.0,22.0,1,0,0,0,0,0,1,0,0.0
a515271c-d683-11e8-8187-022fee61b306,线下,Y,1541.0,0.0,0,0,1,0,0,1,0,0,109.0
17c6a700-d684-11e8-8187-022fee61b306,品牌微信,Y,1307.0,5.0,1,0,0,0,1,0,0,0,0.0
7b715109-d683-11e8-8187-022fee61b306,线下,Y,1387.0,2.0,0,0,1,0,0,1,0,0,
91dc4620-d684-11e8-8187-022fee61b306,品牌微信,Y,1201.0,8.0,0,0,1,0,1,0,0,0,
fed0efe6-d683-11e8-8187-022fee61b306,线下,Y,1204.0,15.0,0,0,1,0,0,1,0,0,206.0
fccebf0a-d683-11e8-8187-022fee61b306,CRM系统,Y,1222.0,7.0,1,0,0,0,0,1,0,0,
4ff73f07-d684-11e8-8187-022fee61b306,线下,Y,1349.0,3.0,0,0,1,0,0,1,0,0,
ab57f801-d683-11e8-8187-022fee61b306,CRM系统,Y,716.0,25.0,1,0,0,0,0,0,1,0,17.0
